# OSU MPI_Put Bandwidth Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.20
2                       0.40
4                       0.81
8                       1.58
16                      2.89
32                      5.67
64                     10.22
128                    21.14
256                    40.65
512                    65.06
1024                   84.70
2048                   98.46
4096                  106.42
8192                  110.92
16384                 113.80
32768                 115.32
65536                 116.06
131072                116.53
262144                116.76
524288                116.88
1048576               116.92
2097152               116.95
4194304               116.96
